country,city,reason,date
Belgium,Brussels,Met with King Baudouin and Prime Minister Tindemans; attended meetings of the Commission of the European Communities and the North Atlantic Council.,6-Jan-78
Venezuela,Caracas,"Met with President Perez, addressed Congress, and signed maritime boundary agreement.","March 28–29, 1978"
Brazil,"Brasilia, Rio de Janeiro",Official visit; met with President Geisel and addressed Brazilian Congress.,"March 29–31, 1978"
Nigeria,Lagos,Met with President Obasanjo; first State visit of a U.S. President to sub-Saharan Africa.,"March 31–April 3, 1978"
Liberia,Monrovia,Met with President Tolbert.,3-Apr-78
Panama,Panama City,"Invited by President Lakas and General Torrijos to sign protocol confirming exchange of documents ratifying Panama Canal treaties. Also met informally with Presidents Perez of Venezuela, Lopez Michelson of Colombia, Lopez Portillo of Mexico, Carazo of Costa Rica, and Prime Minister Manley of Jamaica.","June 16–17, 1978"
"Germany, Federal Republic of","Bonn, Wiesbaden-Erbenheim Air Base, Frankfurt",State visit; met with President Scheel and Chancellor Schmidt. Addressed U.S. and German military personnel.,"July 14–15, 1978"
Germany,West Berlin,Spoke at the Airlift Memorial.,15-Jul-78
"Germany, Federal Republic of",Bonn,"Attended Economic Summit Meeting of the Heads of State and Government of France, the Federal Republic of Germany, Canada, Italy, Japan, and the United Kingdom.","July 16–17, 1978"
France,Guadeloupe,"Met informally with President Giscard d'Estaing, German Chancellor Schmidt, and British Prime Minister Callaghan.","January 4–9, 1979"
Mexico,"Mexico, D.F.",State visit; met with President Lopez Portillo and addressed the Mexican Congress.,"February 14–16, 1979"
Egypt,"Cairo, Alexandria, Giza",State visit; met with President Sadat and addressed People's Assembly.,"March 7–10, 1979"
Israel,"Tel Aviv, Jerusalem",State visit; met with President Navon and Prime Minister Begin. Addressed the Knesset.,"March 10–13, 1979"
Egypt,Cairo,Met with President Sadat.,13-Mar-79
Austria,Vienna,State visit; met with President Kirchschlaeger and Chancellor Kreisky. Met with Soviet General Secretary Brezhnev to sign SALT II Treaty June 16-18.,"June 14–18, 1979"
Japan,"Tokyo, Shimoda","State visit; met with Emperor Hirohito and Prime Minister Ohira. Attended Economic Summit Meeting June 28-29 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 24–29, 1979"
"Korea, Republic of",Seoul,State visit; met with President Park Chung Hee and Prime Minister Choi Kyu Hah.,"June 29–July 1, 1979"
Italy,"Rome, Venice","State visit; met with President Pertini. Attended Economic Summit Conference June 21-24 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 19–24, 1980"
Vatican City,,Audience with Pope John Paul II.,21-Jun-80
Yugoslavia,Belgrade,Official visit; met with President Mijatovic.,"June 24–25, 1980"
Spain,Madrid,Official visit; met with King Juan Carlos I and Prime Minister Suarez.,"June 25–26, 1980"
Portugal,Lisbon,Official visit; met with President Eanes and Prime Minister Sa Carneiro.,26-Jun-80
Japan,Tokyo,"Official visit; attended memorial services for former Prime Minister Ohira; met with Emperor Hirohito, President Ziaur Rahman of Bangladesh, Prime Minister Fraser of Australia, Prime Minister Prem of Thailand, and Premier Hua Guofeng of China.",
Mexico,Ciudad Juarez,Met with President Lopez Portillo. [Visit made as President-elect.],5-Jan-81
Canada,Ottawa,State visit; met with Prime Minister Trudeau and addressed Parliament.,"March 10–11, 1981"
Canada,Ottawa,"Attended Economic Summit Conference of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","July 19–21, 1981"
Mexico,Cancun,"Attended Summit Meeting on International Cooperation and Development. Met with the Heads of State and Government of Algeria, Bangladesh, Canada, China, France, Guyana, India, Japan, Mexico, Nigeria, the Philippines, Saudi Arabia, Sweden, Tanzania, the United Kingdom, Venezuela, and Yugoslavia.","October 21–24, 1981"
Jamaica,Kingston,Official visit; met with Prime Minister Seaga.,"April 7–8, 1982"
Barbados,Bridgetown,"Official visit; met April 8 with the Prime Ministers of Barbados, Antigua and Barbuda, Dominica, St. Christopher and Nevis, and St. Vincent and the Grenadines.","April 8–11, 1982"
France,Paris,State visit; met with President Mitterrand and Prime Minister Mauroy.,"June 2–7, 1982"
France,Versailles,"Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 5–6, 1982"
Italy,Rome,State visit; met with President Pertini and Premier Spadolini.,7-Jun-82
Vatican City,,Audience with Pope John Paul II.,7-Jun-82
United Kingdom,"London, Windsor Castle",State visit; met with Queen Elizabeth II and Prime Minister Thatcher. Addressed Parliament.,"June 7–9, 1982"
"Germany, Federal Republic of",Bonn,State visit; met with Chancellor Schmidt and President Carstens; addressed the Bundestag; and attended a meeting of the North Atlantic Council.,"June 9–11, 1982"
Germany,West Berlin,Met with Chancellor Schmidt.,11-Jun-82
Mexico,Tijuana,Exchange of visits with President-elect de la Madrid.,8-Oct-82
Brazil,"Brasilia, Sao Paulo",Official working visit; met with President Figueiredo.,"November 30–December 3, 1982"
Colombia,Bogota,Official working visit; met with President Betancur.,3-Dec-82
Costa Rica,San Jose,Official working visit; met with President Monge and President Magana of El Salvador.,"December 3–4, 1982"
Honduras,San Pedro Sula,Official working visit; met with President Suazo and with Guatemalan President Rios Montt.,4-Dec-82
Mexico,La Paz (Baja California),Informal meeting with President de la Madrid.,14-Aug-83
Japan,Tokyo,"State visit; met with Emperor Hirhito and Prime Minister Nakasone, and addressed the Diet.","November 9–12, 1983"
"Korea, Republic of","Seoul, Demilitarized Zone","State visit; met with President Chun, addressed the National Assembly, and visited U.S. troops.","November 12–14, 1983"
"China, People’s Republic of","Beijing, Xian, Shanghai",State visit; met with President Li and Premier Zhao.,"April 26–May 1, 1984"
Ireland,"Shannon, Galway, Ballyporeen, Dublin",Met with President Hillery and Prime Minister FitzGerald; visited ancestral home; addressed Parliament.,"June 1–4, 1984"
United Kingdom,London,"Met with Queen Elizabeth II and Prime Minister Thatcher. Attended Economic Summit Meeting June 7-9 of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 4–10, 1984"
France,Normandy,"Attended commemorative ceremonies of the 40th anniversary of the Allied landing in Normandy. Also present were Prime Minister Trudeau of Canada, Queen Beatrix of the Netherlands, King Olav V of Norway, King Baudouin I of Belgium, President Mitterrand of France, Queen Elizabeth II of the United Kingdom, and Grand Duke Jean of Luxembourg.",6-Jun-84
Canada,Quebec,Met with Prime Minister Mulroney.,"March 17–18, 1985"
"Germany, Federal Republic of",Bonn,"Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","April 30–May 4, 1985"
"Germany, Federal Republic of","Bonn, Bergen-Belsen, Bitburg, Hambach Castle",State visit; attended ceremonies commemorating 40th anniversary of the end of World War II in Europe.,"May 5–6, 1985"
Spain,Madrid,State visit; met with King Juan Carlos I and President Gonzalez.,"May 6–8, 1985"
France,Strasbourg,Addressed the European Parliament.,8-May-85
